,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit
20190116,Buy,37.209,268,-9991.956024000001,268,8.044,-19.944
20190311,Sell,42.837,-268,11457.355368,0,11465.399,1465.399
20190312,Buy,43.937,260,-11446.467239999998,260,18.932,1442.552
20190501,Sell,51.23,-260,13293.160399999999,0,13312.093,3312.093
20190502,Buy,51.222,259,-13293.030996,259,19.062,3285.56
20190509,Sell,48.914,-259,12643.388548,0,12662.45,2662.45
20190606,Buy,44.86,281,-12630.87132,281,31.579,2637.239
20190712,Sell,49.607,-281,13911.687865999998,0,13943.267,3943.267
20190715,Buy,50.008,278,-13930.028448000001,278,13.238,3915.462
20190805,Sell,48.512,-278,13459.363328,0,13472.601,3472.601
20190814,Buy,49.968,269,-13468.274784000001,269,4.327,3445.719
20190827,Sell,51.125,-269,13725.11975,0,13729.446,3729.446
20190906,Buy,52.649,260,-13716.117479999999,260,13.329,3702.069
20190924,Sell,54.369,-260,14107.66812,0,14120.997,4120.997
20191001,Buy,55.362,254,-14090.071896,254,30.925,4092.873
20191125,Sell,64.812,-254,16429.323504,0,16460.249,6460.249
20191129,Buy,65.768,249,-16408.984464,249,51.264,6427.496
20191204,Sell,64.405,-249,16004.771310000002,0,16056.036,6056.036
20191209,Buy,66.61,240,-16018.3728,240,37.663,6024.063
20200128,Sell,77.118,-129,9928.325556,0,9928.41,-71.59
20200130,Buy,79.081,125,-9904.89525,125,23.514,-91.361
20200205,Sell,79.811,-125,9956.42225,0,9979.937,-20.063
20200207,Buy,79.717,124,-9904.677816,124,75.259,-39.833
20200220,Sell,79.781,-124,9873.058312000001,0,9948.317,-51.683
20200305,Buy,73.078,135,-9885.26106,135,63.056,-71.414
20200306,Sell,69.733,-135,9395.12709,0,9458.183,-541.817
20200309,Buy,65.222,144,-9410.751935999999,144,47.431,-560.601
20200310,Sell,68.53,-144,9848.58336,0,9896.015,-103.985
20200330,Buy,62.004,159,-9878.353272,159,17.661,-123.703
20200406,Sell,62.042,-159,9844.948644,0,9862.61,-137.39
20200407,Buy,66.965,146,-9796.443780000001,146,66.166,-156.944
20200423,Sell,68.22,-146,9940.19976,0,10006.366,6.366
20200424,Buy,68.546,145,-9959.04834,145,47.318,-13.512
20200427,Sell,69.684,-145,10083.97164,0,10131.289,131.289
20200428,Buy,70.496,143,-10101.089856,143,30.199,111.127
20200724,Sell,90.242,-143,12878.796788,0,12908.996,2908.996
20200803,Buy,107.31,120,-12902.9544,120,6.042,2883.242
20200904,Sell,119.3,-120,14287.368,0,14293.41,4293.41
20200929,Buy,113.82,125,-14255.955,125,37.455,4264.955
20201023,Sell,115.65,-125,14427.3375,0,14464.792,4464.792
20201106,Buy,117.76,122,-14395.453440000001,122,69.339,4436.059
20201124,Sell,113.38,-122,13804.695279999998,0,13874.034,3874.034
20201202,Buy,121.45,114,-13872.990600000001,114,1.044,3846.344
20201215,Sell,123.75,-114,14079.285,0,14080.329,4080.329
20201216,Buy,126.81,110,-13976.9982,110,103.33,4052.43
20210121,Buy,133.17,105,-14010.8157,105,47.748,4030.598
20210202,Sell,135.1,-105,14157.129,0,14204.877,4204.877
20210209,Buy,136.19,104,-14192.087520000001,104,12.79,4176.55
20210217,Sell,130.83,-104,13579.107360000002,0,13591.897,3591.897
20210317,Buy,123.65,109,-13504.8057,109,87.091,3564.941
20210324,Sell,122.43,-109,13318.180260000001,0,13405.272,3405.272
20210325,Buy,119.16,112,-13372.61184,112,32.66,3378.58
20210326,Sell,119.97,-112,13409.76672,0,13442.426,3442.426
20210401,Buy,123.27,108,-13339.78632,108,102.64,3415.8
20210423,Sell,131.74,-108,14199.464160000001,0,14302.104,4302.104
20210426,Buy,134.4,106,-14274.892800000001,106,27.212,4273.612
20210427,Sell,134.58,-106,14236.949040000001,0,14264.161,4264.161
20210428,Buy,133.88,106,-14219.662559999999,106,44.498,4235.778
20210503,Sell,131.62,-106,13923.816560000001,0,13968.315,3968.315
20210524,Buy,125.82,110,-13867.880399999998,110,100.434,3940.634
20210601,Sell,124.89,-110,13710.4242,0,13810.858,3810.858
20210609,Buy,127.02,108,-13745.59632,108,65.262,3783.422
20210722,Sell,145.72,-108,15706.28448,0,15771.547,5771.547
20210726,Buy,148.05,106,-15724.6866,106,46.86,5740.16
20210729,Sell,144.47,-106,15283.19236,0,15330.052,5330.052
20210809,Buy,146.2,104,-15235.2096,104,94.843,5299.643
20210820,Sell,147.44,-104,15303.09248,0,15397.935,5397.935
20210825,Buy,149.81,102,-15311.181240000002,102,86.754,5367.374
20210913,Sell,150.63,-102,15333.53148,0,15420.285,5420.285
20200116,Buy,77.364,129,-9999.915912,129,0.084,-19.96
20210106,Sell,127.12,-110,13955.233600000001,0,14058.564,4058.564
