,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit
20190116,Buy,37.209,268,-9991.956024000001,268,8.044,-19.944
20190311,Sell,42.837,-268,11457.355368,0,11465.399,1465.399
20190312,Buy,43.937,260,-11446.467239999998,260,18.932,1442.552
20190501,Sell,51.23,-260,13293.160399999999,0,13312.093,3312.093
20190502,Buy,51.222,259,-13293.030996,259,19.062,3285.56
20190509,Sell,48.914,-259,12643.388548,0,12662.45,2662.45
20190606,Buy,44.86,281,-12630.87132,281,31.579,2637.239
20190712,Sell,49.607,-281,13911.687865999998,0,13943.267,3943.267
20190715,Buy,50.008,278,-13930.028448000001,278,13.238,3915.462
20190805,Sell,48.512,-278,13459.363328,0,13472.601,3472.601
20190814,Buy,49.968,269,-13468.274784000001,269,4.327,3445.719
20190827,Sell,51.125,-269,13725.11975,0,13729.446,3729.446
20190906,Buy,52.649,260,-13716.117479999999,260,13.329,3702.069
20190924,Sell,54.369,-260,14107.66812,0,14120.997,4120.997
20191001,Buy,55.362,254,-14090.071896,254,30.925,4092.873
20191125,Sell,64.812,-254,16429.323504,0,16460.249,6460.249
20191129,Buy,65.768,249,-16408.984464,249,51.264,6427.496
20191204,Sell,64.405,-249,16004.771310000002,0,16056.036,6056.036
20191209,Buy,66.61,240,-16018.3728,240,37.663,6024.063
20200128,Sell,77.118,-240,18471.303359999998,0,18508.966,8508.966
20200130,Buy,79.081,233,-18462.724746,233,46.241,8472.114
20200205,Sell,79.811,-233,18558.771074000004,0,18605.012,8605.012
20200207,Buy,79.717,232,-18531.332688000002,232,73.68,8568.024
20200220,Sell,79.781,-232,18472.173616000004,0,18545.853,8545.853
20200305,Buy,73.078,253,-18525.711468,253,20.142,8508.876
20200306,Sell,69.733,-253,17607.164102,0,17627.306,7627.306
20200309,Buy,65.222,269,-17579.807435999996,269,47.499,7592.217
20200310,Sell,68.53,-269,18397.70086,0,18445.199,8445.199
20200330,Buy,62.004,296,-18389.890368,296,55.309,8408.493
20200406,Sell,62.042,-296,18327.703136,0,18383.012,8383.012
20200407,Buy,66.965,273,-18318.00789,273,65.004,8346.449
20200423,Sell,68.22,-273,18586.81188,0,18651.816,8651.816
20200424,Buy,68.546,271,-18613.117932,271,38.698,8614.664
20200427,Sell,69.684,-271,18846.595272,0,18885.294,8885.294
20200428,Buy,70.496,267,-18860.076864,267,25.217,8847.649
20200724,Sell,90.242,-267,24046.424772000002,0,24071.641,14071.641
20200803,Buy,107.31,223,-23977.990260000002,223,93.651,14023.781
20200904,Sell,119.3,-223,26550.692199999998,0,26644.343,16644.343
20200929,Buy,113.82,233,-26573.10012,233,71.243,16591.303
20201023,Sell,115.65,-233,26892.5571,0,26963.8,16963.8
20201106,Buy,117.76,228,-26902.978560000003,228,60.822,16910.102
20201124,Sell,113.38,-228,25798.93872,0,25859.761,15859.761
20201202,Buy,121.45,212,-25798.894800000002,212,60.866,15808.266
20201215,Sell,123.75,-212,26182.53,0,26243.396,16243.396
20201216,Buy,126.81,206,-26175.10572,206,68.29,16191.15
